date,population,status,exceedance
01/01/2026,11.0,N,N
02/01/2026,8.0,N,N
03/01/2026,11.0,N,N
04/01/2026,9.0,N,N
05/01/2026,9.0,N,N
06/01/2026,10.0,N,N
07/01/2026,16.0,N,N
08/01/2026,9.0,N,N
09/01/2026,8.0,N,N
10/01/2026,25.0,N,N
11/01/2026,8.0,N,N
12/01/2026,15.0,N,N
13/01/2026,10.0,N,N
14/01/2026,14.0,N,N
15/01/2026,13.0,N,N
16/01/2026,12.0,N,N
17/01/2026,12.0,N,N
18/01/2026,15.0,N,N
19/01/2026,16.0,N,N
20/01/2026,12.0,N,N
21/01/2026,5.0,N,N
22/01/2026,11.0,N,N
23/01/2026,9.0,N,N
24/01/2026,10.0,N,N
25/01/2026,13.0,N,N
26/01/2026,38.0,N,N
27/01/2026,10.0,N,N
28/01/2026,15.0,N,N
29/01/2026,19.0,N,N
30/01/2026,11.0,N,N
31/01/2026,10.0,N,N
01/02/2026,12.0,N,N
02/02/2026,18.0,N,N
03/02/2026,30.0,N,N
04/02/2026,18.0,N,N
05/02/2026,20.0,N,N
06/02/2026,9.0,N,N
